Reference;Centroid;TotalHeight;NumberOfFloors;FootprintArea;GrossFloorArea;RoofArea;TotalEnvelopeArea;ExteriorEnvelopeArea;AdjoiningEnvelopeArea;NorthExteriorEnvelopeArea;SouthExteriorEnvelopeArea;WestExteriorEnvelopeArea;EastExteriorEnvelopeArea;YearOfConstruction;Use;ProtectionDegree;Refurbished;WindowPercentage;ParcelID;Volume;DistrictCentroid;EnergySystem;BoilerPower;NumberOfDwellings;BoilerType;NumberOfBoiler
3735994.0;51.21864142861641#4.399461212754649;14.12;5;43.0;215.0;43.0;382.9025271243652;194.6275203094862;188.27500681487902;0.0;115.93646224105902;70.56812095276769;8.122937115659482;0;null;null;false;0.0;null;607.16;51.21948413044672#4.398325130973949;null;-1.0;-1;null;-1
5321042.0;51.219744132485566#4.396907836067641;17.18;6;97.0;582.0;97.0;806.6895115769626;201.04846220649577;605.6410493704668;108.44039951039866;59.22623868999929;31.35130483934585;2.030519166751958;0;null;null;false;0.0;null;1666.46;51.21948413044672#4.398325130973949;null;-1.0;-1;null;-1
5320948.0;51.219541546605484#4.400119912273969;11.77;4;222.0;888.0;222.0;1086.727867568065;330.81659161785524;755.9112759502098;0.0;110.56307378026796;0.0;220.25351783758728;0;null;null;false;0.0;null;2612.94;51.21948413044672#4.398325130973949;null;-1.0;-1;null;-1
3735873.0;51.2197428313628#4.399224371716952;16.87;5;521.0;2605.0;521.0;2740.1549749853016;2077.4009912781376;662.7539837071639;466.31697972003366;349.10507744513006;778.2032740994578;483.7756600135158;0;null;null;false;0.0;null;8789.27;51.21948413044672#4.398325130973949;null;-1.0;-1;null;-1
5321018.0;51.21944812616364#4.400291808589032;15.49;5;174.0;870.0;174.0;1063.0255750509007;436.8257614070136;626.1998136438871;49.71182230742382;116.09515690015056;59.27068730572682;211.7480948937124;0;null;null;false;0.0;null;2695.26;51.21948413044672#4.398325130973949;null;-1.0;-1;null;-1
5326204.0;51.21881315735811#4.399233815729818;13.42;4;60.0;240.0;60.0;543.3787881534954;104.66385288438845;438.714935269107;0.0;56.002464373495954;6.19849612262685;42.46289238826565;0;null;null;false;0.0;null;805.2;51.21948413044672#4.398325130973949;null;-1.0;-1;null;-1
3735599.0;51.21811354117799#4.398102178116621;13.46;4;123.0;492.0;123.0;626.7263102551564;321.17432020161874;305.5519900535376;0.0;132.59294766472385;9.496749206251717;179.08462333064318;0;null;null;false;0.0;null;1655.5800000000002;51.21948413044672#4.398325130973949;null;-1.0;-1;null;-1
3735381.0;51.21850790077546#4.397511616576878;21.37;7;575.0;4025.0;575.0;2578.373441791029;916.0718315377869;1662.301610253242;147.3205134734064;351.9228172839607;308.68684483747126;108.14165594294866;0;null;null;false;0.0;null;12287.75;51.21948413044672#4.398325130973949;null;-1.0;-1;null;-1
5320944.0;51.21837015094907#4.39748939851945;8.57;3;152.0;456.0;152.0;546.1825795031109;52.67980497266246;493.5027745304484;0.0;0.0;0.0;52.67980497266246;0;null;null;false;0.0;null;1302.64;51.21948413044672#4.398325130973949;null;-1.0;-1;null;-1
3735966.0;51.218986017006614#4.399391307012696;16.95;5;88.0;440.0;88.0;680.4189379648848;370.90322525411705;309.51571271076773;114.10763574384693;1.2072842893441873;34.07724430273649;221.51106091818943;0;null;null;false;0.0;null;1491.6;51.21948413044672#4.398325130973949;null;-1.0;-1;null;-1
